district,horizon,date,actual,lower,prediction,upper,interval_width,within_interval
Colombo,1,2025-03-29,19,13,23,37,24,1
Colombo,1,2025-04-05,22,16,28,43,27,1
Colombo,1,2025-04-12,45,19,32,50,31,1
Colombo,1,2025-04-19,45,20,35,55,35,1
Colombo,1,2025-04-26,30,22,38,60,38,1
Colombo,1,2025-05-03,49,21,37,58,37,1
Colombo,1,2025-05-10,42,22,38,60,38,1
Colombo,1,2025-05-17,39,21,37,58,37,1
Colombo,1,2025-05-24,46,21,37,58,37,1
Colombo,1,2025-05-31,46,22,38,59,37,1
Colombo,1,2025-06-07,55,20,36,56,36,1
Colombo,1,2025-06-14,31,22,38,59,37,1
Colombo,1,2025-06-21,24,20,35,54,34,1
Colombo,1,2025-06-28,21,16,28,44,28,1
Colombo,1,2025-07-05,27,13,22,35,22,1
Colombo,1,2025-07-12,24,13,22,34,21,1
Colombo,1,2025-07-19,23,13,23,36,23,1
Colombo,1,2025-07-26,14,13,23,36,23,1
Colombo,1,2025-08-02,10,8,14,23,15,1
Colombo,1,2025-08-09,6,5,9,15,10,1
Colombo,1,2025-08-16,10,2,5,9,7,0
Colombo,1,2025-08-23,2,3,6,10,7,0
Colombo,1,2025-08-30,2,1,4,7,6,1
Gampaha,1,2025-03-29,0,0,3,5,5,1
Gampaha,1,2025-04-05,3,1,3,6,5,1
Gampaha,1,2025-04-12,2,1,5,8,7,1
Gampaha,1,2025-04-19,6,1,3,7,6,1
Gampaha,1,2025-04-26,6,3,7,11,8,1
Gampaha,1,2025-05-03,9,4,8,12,8,1
Gampaha,1,2025-05-10,7,8,14,22,14,0
Gampaha,1,2025-05-17,7,7,12,18,11,1
Gampaha,1,2025-05-24,14,7,12,20,13,1
Gampaha,1,2025-05-31,19,10,18,28,18,1
Gampaha,1,2025-06-07,12,12,21,35,23,1
Gampaha,1,2025-06-14,25,13,23,36,23,1
Gampaha,1,2025-06-21,18,17,29,46,29,1
Gampaha,1,2025-06-28,11,14,25,39,25,0
Gampaha,1,2025-07-05,5,7,13,21,14,0
Gampaha,1,2025-07-12,7,2,5,9,7,1
Gampaha,1,2025-07-19,4,2,5,8,6,1
Gampaha,1,2025-07-26,7,2,4,7,5,1
Gampaha,1,2025-08-02,6,2,5,8,6,1
Gampaha,1,2025-08-09,2,2,5,8,6,1
Gampaha,1,2025-08-16,4,1,4,6,5,1
Gampaha,1,2025-08-23,0,1,4,6,5,0
Gampaha,1,2025-08-30,1,0,2,4,4,1
Jaffna,1,2025-03-29,2,0,2,3,3,1
Jaffna,1,2025-04-05,1,0,2,4,4,1
Jaffna,1,2025-04-12,3,0,2,3,3,1
Jaffna,1,2025-04-19,4,1,3,5,4,1
Jaffna,1,2025-04-26,8,1,3,6,5,0
Jaffna,1,2025-05-03,7,3,7,11,8,1
Jaffna,1,2025-05-10,0,4,8,12,8,0
Jaffna,1,2025-05-17,3,1,3,6,5,1
Jaffna,1,2025-05-24,5,3,6,10,7,1
Jaffna,1,2025-05-31,0,1,5,7,6,0
Jaffna,1,2025-06-07,4,0,3,5,5,1
Jaffna,1,2025-06-14,2,1,3,6,5,1
Jaffna,1,2025-06-21,1,0,3,4,4,1
Jaffna,1,2025-06-28,3,0,2,4,4,1
Jaffna,1,2025-07-05,3,1,3,4,3,1
Jaffna,1,2025-07-12,4,0,3,5,5,1
Jaffna,1,2025-07-19,5,1,3,5,4,1
Jaffna,1,2025-07-26,2,1,4,6,5,1
Jaffna,1,2025-08-02,4,1,3,5,4,1
Jaffna,1,2025-08-09,6,1,4,6,5,1
Jaffna,1,2025-08-16,6,2,6,9,7,1
Jaffna,1,2025-08-23,10,3,6,9,6,0
Jaffna,1,2025-08-30,13,4,8,12,8,0
Kandy,1,2025-03-29,0,0,1,4,4,1
Kandy,1,2025-04-05,1,0,2,4,4,1
Kandy,1,2025-04-12,1,0,2,5,5,1
Kandy,1,2025-04-19,0,0,2,4,4,1
Kandy,1,2025-04-26,3,0,2,4,4,1
Kandy,1,2025-05-03,8,0,3,7,7,0
Kandy,1,2025-05-10,7,4,9,14,10,1
Kandy,1,2025-05-17,12,4,8,13,9,1
Kandy,1,2025-05-24,7,8,14,22,14,0
Kandy,1,2025-05-31,11,7,13,20,13,1
Kandy,1,2025-06-07,41,7,12,21,14,0
Kandy,1,2025-06-14,34,15,26,41,26,1
Kandy,1,2025-06-21,40,18,32,49,31,1
Kandy,1,2025-06-28,29,19,34,53,34,1
Kandy,1,2025-07-05,56,17,30,47,30,0
Kandy,1,2025-07-12,72,19,33,51,32,0
Kandy,1,2025-07-19,38,20,35,54,34,1
Kandy,1,2025-07-26,39,19,33,52,33,1
Kandy,1,2025-08-02,19,19,33,51,32,1
Kandy,1,2025-08-09,29,16,27,43,27,1
Kandy,1,2025-08-16,8,16,28,44,28,0
Kandy,1,2025-08-23,15,6,10,18,12,1
Kandy,1,2025-08-30,9,7,12,20,13,1
Matara,1,2025-03-29,0,0,1,3,3,1
Matara,1,2025-04-05,0,0,1,3,3,1
Matara,1,2025-04-12,0,0,3,6,6,1
Matara,1,2025-04-19,2,0,2,4,4,1
Matara,1,2025-04-26,0,0,2,5,5,1
Matara,1,2025-05-03,2,0,2,4,4,1
Matara,1,2025-05-10,0,1,3,6,5,0
Matara,1,2025-05-17,5,0,2,4,4,0
Matara,1,2025-05-24,5,2,5,8,6,1
Matara,1,2025-05-31,11,3,8,12,9,1
Matara,1,2025-06-07,16,8,14,24,16,1
Matara,1,2025-06-14,19,12,22,34,22,1
Matara,1,2025-06-21,21,15,27,42,27,1
Matara,1,2025-06-28,15,15,26,41,26,1
Matara,1,2025-07-05,12,9,16,26,17,1
Matara,1,2025-07-12,12,6,10,17,11,1
Matara,1,2025-07-19,8,6,10,16,10,1
Matara,1,2025-07-26,9,5,9,15,10,1
Matara,1,2025-08-02,8,4,8,13,9,1
Matara,1,2025-08-09,12,3,7,10,7,0
Matara,1,2025-08-16,4,5,8,14,9,0
Matara,1,2025-08-23,4,2,5,8,6,1
Matara,1,2025-08-30,6,1,4,7,6,1
Colombo,2,2025-04-05,22,10,23,40,30,1
Colombo,2,2025-04-12,45,12,27,47,35,1
Colombo,2,2025-04-19,45,14,31,53,39,1
Colombo,2,2025-04-26,30,16,35,59,43,1
Colombo,2,2025-05-03,49,17,37,63,46,1
Colombo,2,2025-05-10,42,16,35,61,45,1
Colombo,2,2025-05-17,39,17,37,63,46,1
Colombo,2,2025-05-24,46,16,36,61,45,1
Colombo,2,2025-05-31,46,17,36,62,45,1
Colombo,2,2025-06-07,55,17,36,63,46,1
Colombo,2,2025-06-14,31,16,34,59,43,1
Colombo,2,2025-06-21,24,17,37,63,46,1
Colombo,2,2025-06-28,21,15,33,58,43,1
Colombo,2,2025-07-05,27,12,27,47,35,1
Colombo,2,2025-07-12,24,9,21,38,29,1
Colombo,2,2025-07-19,23,9,20,37,28,1
Colombo,2,2025-07-26,14,9,22,39,30,1
Colombo,2,2025-08-02,10,9,22,39,30,1
Colombo,2,2025-08-09,6,5,13,25,20,1
Colombo,2,2025-08-16,10,3,8,16,13,1
Colombo,2,2025-08-23,2,2,4,9,7,1
Colombo,2,2025-08-30,2,2,6,12,10,1
Colombo,2,2025-09-06,2,2,4,7,5,1
Gampaha,2,2025-04-05,3,1,3,6,5,1
Gampaha,2,2025-04-12,2,0,4,8,8,1
Gampaha,2,2025-04-19,6,1,5,9,8,1
Gampaha,2,2025-04-26,6,1,4,7,6,1
Gampaha,2,2025-05-03,9,2,8,13,11,1
Gampaha,2,2025-05-10,7,3,8,14,11,1
Gampaha,2,2025-05-17,7,6,14,24,18,1
Gampaha,2,2025-05-24,14,5,12,21,16,1
Gampaha,2,2025-05-31,19,5,13,22,17,1
Gampaha,2,2025-06-07,12,8,18,30,22,1
Gampaha,2,2025-06-14,25,9,22,38,29,1
Gampaha,2,2025-06-21,18,10,23,39,29,1
Gampaha,2,2025-06-28,11,13,29,49,36,0
Gampaha,2,2025-07-05,5,11,24,43,32,0
Gampaha,2,2025-07-12,7,5,12,23,18,1
Gampaha,2,2025-07-19,4,2,4,10,8,1
Gampaha,2,2025-07-26,7,2,5,9,7,1
Gampaha,2,2025-08-02,6,2,4,7,5,1
Gampaha,2,2025-08-09,2,2,5,8,6,1
Gampaha,2,2025-08-16,4,2,5,8,6,1
Gampaha,2,2025-08-23,0,2,3,6,4,0
Gampaha,2,2025-08-30,1,2,4,6,4,0
Gampaha,2,2025-09-06,0,1,2,5,4,0
Jaffna,2,2025-04-05,1,0,2,4,4,1
Jaffna,2,2025-04-12,3,0,2,4,4,1
Jaffna,2,2025-04-19,4,0,2,5,5,1
Jaffna,2,2025-04-26,8,1,3,6,5,0
Jaffna,2,2025-05-03,7,1,4,6,5,0
Jaffna,2,2025-05-10,0,3,7,12,9,0
Jaffna,2,2025-05-17,3,3,8,14,11,1
Jaffna,2,2025-05-24,5,2,3,6,4,1
Jaffna,2,2025-05-31,0,2,7,12,10,0
Jaffna,2,2025-06-07,4,1,5,9,8,1
Jaffna,2,2025-06-14,2,1,2,6,5,1
Jaffna,2,2025-06-21,1,1,3,6,5,1
Jaffna,2,2025-06-28,3,1,3,5,4,1
Jaffna,2,2025-07-05,3,1,2,5,4,1
Jaffna,2,2025-07-12,4,1,3,5,4,1
Jaffna,2,2025-07-19,5,1,3,6,5,1
Jaffna,2,2025-07-26,2,1,3,6,5,1
Jaffna,2,2025-08-02,4,2,4,7,5,1
Jaffna,2,2025-08-09,6,2,3,6,4,1
Jaffna,2,2025-08-16,6,2,4,6,4,1
Jaffna,2,2025-08-23,10,2,6,10,8,1
Jaffna,2,2025-08-30,13,2,6,10,8,0
Jaffna,2,2025-09-06,7,3,8,14,11,1
Kandy,2,2025-04-05,1,0,2,5,5,1
Kandy,2,2025-04-12,1,0,2,6,6,1
Kandy,2,2025-04-19,0,0,3,7,7,1
Kandy,2,2025-04-26,3,0,3,5,5,1
Kandy,2,2025-05-03,8,0,2,5,5,0
Kandy,2,2025-05-10,7,0,4,8,8,1
Kandy,2,2025-05-17,12,2,10,16,14,1
Kandy,2,2025-05-24,7,2,9,15,13,1
Kandy,2,2025-05-31,11,6,15,25,19,1
Kandy,2,2025-06-07,41,6,13,23,17,0
Kandy,2,2025-06-14,34,5,13,23,18,0
Kandy,2,2025-06-21,40,11,26,44,33,1
Kandy,2,2025-06-28,29,14,30,52,38,1
Kandy,2,2025-07-05,56,15,32,56,41,1
Kandy,2,2025-07-12,72,13,29,50,37,0
Kandy,2,2025-07-19,38,14,31,54,40,1
Kandy,2,2025-07-26,39,15,33,57,42,1
Kandy,2,2025-08-02,19,14,32,55,41,1
Kandy,2,2025-08-09,29,14,31,54,40,1
Kandy,2,2025-08-16,8,12,26,46,34,0
Kandy,2,2025-08-23,15,12,27,47,35,1
Kandy,2,2025-08-30,9,4,10,20,16,1
