district,horizon,date,actual,lower,prediction,upper,interval_width,within_interval
Ampara,1,2014-06-21,6,3,6,20,17,1
Ampara,1,2014-06-28,2,2,5,15,13,1
Ampara,1,2014-07-05,2,0,3,11,11,1
Ampara,1,2014-07-12,1,0,3,12,12,1
Ampara,1,2014-07-19,4,0,0,10,10,1
Ampara,1,2014-07-26,2,0,1,13,13,1
Ampara,1,2014-08-02,1,0,2,11,11,1
Ampara,1,2014-08-09,4,0,2,10,10,1
Ampara,1,2014-08-16,3,0,0,5,5,1
Ampara,1,2014-08-23,2,0,3,3,3,1
Ampara,1,2014-08-30,0,1,3,11,10,0
Ampara,1,2014-09-06,0,0,1,11,11,1
Ampara,1,2014-09-13,2,0,1,8,8,1
Ampara,1,2014-09-20,1,0,1,12,12,1
Ampara,1,2014-09-27,0,0,2,7,7,1
Ampara,1,2014-10-04,2,0,5,7,7,1
Ampara,1,2014-10-11,1,0,5,7,7,1
Ampara,1,2014-10-18,2,1,4,11,10,1
Ampara,1,2014-10-25,2,0,9,15,15,1
Ampara,1,2014-11-01,2,4,11,19,15,0
Ampara,1,2014-11-08,6,0,0,9,9,1
Ampara,1,2014-11-15,3,2,3,13,11,1
Ampara,1,2014-11-22,2,0,8,12,12,1
Ampara,1,2014-11-29,3,2,10,21,19,1
Ampara,1,2014-12-06,1,3,5,15,12,0
Ampara,1,2014-12-13,0,0,4,8,8,1
Ampara,1,2014-12-20,1,0,6,14,14,1
Ampara,1,2014-12-27,2,2,13,23,21,1
Ampara,1,2015-01-03,1,1,6,14,13,1
Ampara,1,2015-01-10,2,0,4,16,16,1
Ampara,1,2015-01-17,3,4,10,27,23,0
Ampara,1,2015-01-24,0,2,8,23,21,0
Ampara,1,2015-01-31,0,1,5,17,16,0
Ampara,1,2015-02-07,1,0,6,10,10,1
Ampara,1,2015-02-14,3,0,5,12,12,1
Ampara,1,2015-02-21,1,0,8,16,16,1
Ampara,1,2015-02-28,1,3,7,15,12,0
Ampara,1,2015-03-07,3,1,7,16,15,1
Ampara,1,2015-03-14,0,3,8,20,17,0
Ampara,1,2015-03-21,0,2,6,14,12,0
Ampara,1,2015-03-28,0,0,5,16,16,1
Ampara,1,2015-04-04,0,0,5,14,14,1
Ampara,1,2015-04-11,0,1,9,15,14,0
Ampara,1,2015-04-18,0,0,7,12,12,1
Ampara,1,2015-04-25,1,0,6,11,11,1
Ampara,1,2015-05-02,0,1,6,16,15,0
Ampara,1,2015-05-09,0,2,6,16,14,0
Ampara,1,2015-05-16,1,1,9,17,16,1
Ampara,1,2015-05-23,0,1,7,17,16,0
Ampara,1,2015-05-30,1,1,8,21,20,1
Ampara,1,2015-06-06,3,5,7,14,9,0
Ampara,1,2015-06-13,1,1,6,15,14,1
Ampara,1,2015-06-20,1,0,1,12,12,1
Ampara,1,2015-06-27,0,0,4,15,15,1
Ampara,1,2015-07-04,0,0,4,18,18,1
Ampara,1,2015-07-11,1,0,2,13,13,1
Ampara,1,2015-07-18,1,0,2,13,13,1
Ampara,1,2015-07-25,0,0,2,12,12,1
Ampara,1,2015-08-01,0,0,0,9,9,1
Ampara,1,2015-08-08,1,0,0,9,9,1
Ampara,1,2015-08-15,1,0,1,10,10,1
Ampara,1,2015-08-22,1,0,1,7,7,1
Ampara,1,2015-08-29,0,0,2,11,11,1
Ampara,1,2015-09-05,0,1,4,10,9,0
Ampara,1,2015-09-12,0,1,4,11,10,0
Ampara,1,2015-09-19,2,0,1,11,11,1
Ampara,1,2015-09-26,0,0,3,11,11,1
Ampara,1,2015-10-03,2,1,8,13,12,1
Ampara,1,2015-10-10,0,1,3,13,12,0
Ampara,1,2015-10-17,0,1,2,11,10,0
Ampara,1,2015-10-24,0,0,8,13,13,1
Ampara,1,2015-10-31,0,4,15,27,23,0
Ampara,1,2015-11-07,0,4,11,22,18,0
Ampara,1,2015-11-14,0,2,11,21,19,0
Ampara,1,2015-11-21,0,2,9,18,16,0
Ampara,1,2015-11-28,0,2,4,15,13,0
Ampara,1,2015-12-05,2,1,10,18,17,1
Ampara,1,2015-12-12,0,3,14,26,23,0
Ampara,1,2015-12-19,0,1,2,14,13,0
Ampara,1,2015-12-26,3,0,1,12,12,1
Ampara,1,2016-01-02,0,0,5,14,14,1
Ampara,1,2016-01-09,2,0,5,13,13,1
Ampara,1,2016-01-16,0,1,4,15,14,0
Ampara,1,2016-01-23,0,1,7,19,18,0
Ampara,1,2016-01-30,2,0,4,12,12,1
Ampara,1,2016-02-06,4,0,2,8,8,1
Ampara,1,2016-02-13,1,0,2,16,16,1
Ampara,1,2016-02-20,0,0,2,11,11,1
Ampara,1,2016-02-27,0,0,0,9,9,1
Ampara,1,2016-03-05,0,0,0,10,10,1
Ampara,1,2016-03-12,0,0,1,11,11,1
Ampara,1,2016-03-19,2,0,1,11,11,1
Ampara,1,2016-03-26,5,0,1,11,11,1
Ampara,1,2016-04-02,0,2,10,16,14,0
Ampara,1,2016-04-09,0,1,5,13,12,0
Ampara,1,2016-04-16,0,0,5,16,16,1
Ampara,1,2016-04-23,2,0,5,14,14,1
Ampara,1,2016-04-30,1,1,3,11,10,1
Ampara,1,2016-05-07,0,0,5,13,13,1
Ampara,1,2016-05-14,0,0,8,14,14,1
Ampara,1,2016-05-21,0,2,11,20,18,0
Ampara,1,2016-05-28,3,0,8,18,18,1
Ampara,1,2016-06-04,0,2,7,20,18,0
Ampara,1,2016-06-11,1,0,3,13,13,1
Ampara,1,2016-06-18,0,0,2,15,15,1
Ampara,1,2016-06-25,0,0,5,14,14,1
Ampara,1,2016-07-02,1,1,5,16,15,1
Ampara,1,2016-07-09,0,1,5,16,15,0
Ampara,1,2016-07-16,10,2,5,16,14,1
Ampara,1,2016-07-23,4,1,5,16,15,1
Ampara,1,2016-07-30,1,0,5,13,13,1
Ampara,1,2016-08-06,0,0,3,13,13,1
Ampara,1,2016-08-13,1,1,2,17,16,1
Ampara,1,2016-08-20,0,0,1,11,11,1
Ampara,1,2016-08-27,0,0,0,9,9,1
Ampara,1,2016-09-03,0,0,0,8,8,1
Ampara,1,2016-09-10,0,0,0,12,12,1
Ampara,1,2016-09-17,0,0,1,11,11,1
Ampara,1,2016-09-24,1,0,1,11,11,1
Ampara,1,2016-10-01,0,0,2,11,11,1
Ampara,1,2016-10-08,0,0,1,12,12,1
Ampara,1,2016-10-15,0,0,1,10,10,1
Ampara,1,2016-10-22,0,0,2,8,8,1
Ampara,1,2016-10-29,0,0,2,10,10,1
Ampara,1,2016-11-05,0,0,4,9,9,1
Ampara,1,2016-11-12,1,2,6,16,14,0
Ampara,1,2016-11-19,2,1,7,15,14,1
Ampara,1,2016-11-26,3,1,9,18,17,1
Ampara,1,2016-12-03,0,2,6,18,16,0
Ampara,1,2016-12-10,0,0,1,10,10,1
Ampara,1,2016-12-17,0,1,5,15,14,0
Ampara,1,2016-12-24,5,0,3,14,14,1
Ampara,1,2016-12-31,0,0,7,11,11,1
Ampara,1,2017-01-07,0,0,4,13,13,1
Ampara,1,2017-01-14,2,1,5,17,16,1
Ampara,1,2017-01-21,18,2,6,19,17,1
Ampara,1,2017-01-28,2,1,8,13,12,1
Ampara,1,2017-02-04,1,1,7,17,16,1
Ampara,1,2017-02-11,2,5,8,19,14,0
Ampara,1,2017-02-18,1,2,6,18,16,0
Ampara,1,2017-02-25,10,0,3,12,12,1
Ampara,1,2017-03-04,8,0,5,8,8,1
Ampara,1,2017-03-11,13,0,3,12,12,0
Ampara,1,2017-03-18,12,0,4,6,6,0
Ampara,1,2017-03-25,12,4,14,23,19,1
Ampara,1,2017-04-01,20,12,17,34,22,1
Ampara,1,2017-04-08,10,11,22,41,30,0
Ampara,1,2017-04-15,14,5,13,32,27,1
Ampara,1,2017-04-22,28,9,19,34,25,1
Ampara,1,2017-04-29,19,17,30,52,35,1
Ampara,1,2017-05-06,23,16,29,50,34,1
Ampara,1,2017-05-13,18,10,21,36,26,1
Ampara,1,2017-05-20,15,11,23,40,29,1
Ampara,1,2017-05-27,18,4,11,28,24,1
Ampara,1,2017-06-03,18,8,18,36,28,1
Ampara,1,2017-06-10,14,11,20,34,23,1
Ampara,1,2017-06-17,20,14,26,46,32,1
Ampara,1,2017-06-24,35,15,28,49,34,1
Ampara,1,2017-07-01,55,18,33,56,38,1
Ampara,1,2017-07-08,42,31,52,83,52,1
Ampara,1,2017-07-15,50,30,54,94,64,1
Ampara,1,2017-07-22,78,33,56,85,52,1
Ampara,1,2017-07-29,33,40,70,112,72,0
Ampara,1,2017-08-05,24,33,57,99,66,0
Ampara,1,2017-08-12,17,21,32,57,36,0
Ampara,1,2017-08-19,26,7,18,40,33,1
Ampara,1,2017-08-26,11,8,15,37,29,1
Ampara,1,2017-09-02,11,8,16,32,24,1
Ampara,1,2017-09-09,13,2,10,25,23,1
Ampara,1,2017-09-16,10,5,10,27,22,1
Ampara,1,2017-09-23,17,5,12,27,22,1
Ampara,1,2017-09-30,11,8,14,31,23,1
Ampara,1,2017-10-07,8,4,11,25,21,1
Ampara,1,2017-10-14,12,0,9,15,15,1
Ampara,1,2017-10-21,10,0,5,16,16,1
Ampara,1,2017-10-28,11,0,3,8,8,0
Ampara,1,2017-11-04,9,0,7,15,15,1
Ampara,1,2017-11-11,8,2,8,17,15,1
Ampara,1,2017-11-18,5,2,11,22,20,1
Ampara,1,2017-11-25,9,4,6,21,17,1
Ampara,1,2017-12-02,7,0,9,14,14,1
Ampara,1,2017-12-09,24,3,8,21,18,0
Ampara,1,2017-12-16,8,7,11,24,17,1
Ampara,1,2017-12-23,12,1,5,15,14,1
Ampara,1,2017-12-30,0,5,8,23,18,0
Ampara,1,2018-01-06,6,3,9,22,19,1
Ampara,1,2018-01-13,8,3,8,26,23,1
Ampara,1,2018-01-20,10,3,8,20,17,1
Ampara,1,2018-01-27,4,6,11,27,21,0
Ampara,1,2018-02-03,2,0,8,20,20,1
Ampara,1,2018-02-10,6,0,5,14,14,1
Ampara,1,2018-02-17,2,4,8,24,20,0
Ampara,1,2018-02-24,1,2,5,17,15,0
Ampara,1,2018-03-03,1,1,9,13,12,1
Ampara,1,2018-03-10,4,0,4,12,12,1
Ampara,1,2018-03-17,8,0,3,9,9,1
Ampara,1,2018-03-24,0,2,12,22,20,0
Ampara,1,2018-03-31,1,2,7,22,20,0
Ampara,1,2018-04-07,4,0,5,11,11,1
Ampara,1,2018-04-14,0,1,8,12,11,0
Ampara,1,2018-04-21,3,3,7,17,14,1
Ampara,1,2018-04-28,1,3,8,19,16,0
Ampara,1,2018-05-05,1,0,6,15,15,1
Ampara,1,2018-05-12,2,1,10,13,12,1
Ampara,1,2018-05-19,2,1,7,14,13,1
Ampara,1,2018-05-26,6,0,8,13,13,1
Ampara,1,2018-06-02,20,0,8,18,18,0
Ampara,1,2018-06-09,4,5,11,25,20,0
Ampara,1,2018-06-16,10,3,12,22,19,1
Ampara,1,2018-06-23,7,5,11,28,23,1
Ampara,1,2018-06-30,32,1,6,17,16,0
Ampara,1,2018-07-07,17,5,14,26,21,1
Ampara,1,2018-07-14,8,7,18,30,23,1
Ampara,1,2018-07-21,3,8,15,30,22,0
Ampara,1,2018-07-28,5,3,6,19,16,1
Ampara,1,2018-08-04,10,1,4,15,14,1
Ampara,1,2018-08-11,1,1,4,15,14,1
Ampara,1,2018-08-18,2,0,2,13,13,1
Ampara,1,2018-08-25,2,0,1,7,7,1
Ampara,1,2018-09-01,2,0,0,7,7,1
Ampara,1,2018-09-08,3,0,1,9,9,1
Ampara,1,2018-09-15,2,0,2,13,13,1
Ampara,1,2018-09-22,0,0,2,9,9,1
Ampara,1,2018-09-29,2,0,5,8,8,1
Ampara,1,2018-10-06,3,0,5,14,14,1
Ampara,1,2018-10-13,2,0,2,12,12,1
Ampara,1,2018-10-20,1,0,2,13,13,1
Ampara,1,2018-10-27,3,0,6,10,10,1
Ampara,1,2018-11-03,3,1,8,15,14,1
Ampara,1,2018-11-10,5,1,10,18,17,1
Ampara,1,2018-11-17,3,0,10,22,22,1
Ampara,1,2018-11-24,11,4,8,17,13,1
Ampara,1,2018-12-01,3,3,9,21,18,1
Ampara,1,2018-12-08,5,1,6,12,11,1
Ampara,1,2018-12-15,8,1,6,14,13,1
Ampara,1,2018-12-22,0,2,3,14,12,0
Ampara,1,2018-12-29,6,0,3,15,15,1
Ampara,1,2019-01-05,9,3,6,21,18,1
Ampara,1,2019-01-12,6,2,6,19,17,1
Ampara,1,2019-01-19,4,0,8,13,13,1
Ampara,1,2019-01-26,6,2,7,17,15,1
Ampara,1,2019-02-02,5,4,9,24,20,1
Ampara,1,2019-02-09,3,2,9,13,11,1
Ampara,1,2019-02-16,4,0,5,15,15,1
Ampara,1,2019-02-23,9,0,1,11,11,1
Ampara,1,2019-03-02,3,0,2,7,7,1
Ampara,1,2019-03-09,7,0,5,13,13,1
Ampara,1,2019-03-16,6,2,6,21,19,1
Ampara,1,2019-03-23,12,1,5,16,15,1
Ampara,1,2019-03-30,3,1,4,13,12,1
Ampara,1,2019-04-06,3,2,4,18,16,1
Ampara,1,2019-04-13,0,0,3,12,12,1
Ampara,1,2019-04-20,5,0,2,9,9,1
Ampara,1,2019-04-27,2,0,6,12,12,1
Ampara,1,2019-05-04,1,0,2,10,10,1
Ampara,1,2019-05-11,3,0,5,14,14,1
Ampara,1,2019-05-18,3,1,4,17,16,1
Ampara,1,2019-05-25,2,0,3,11,11,1
Ampara,1,2019-06-01,3,0,1,11,11,1
Ampara,1,2019-06-08,9,0,3,12,12,1
Ampara,1,2019-06-15,3,0,3,11,11,1
Ampara,1,2019-06-22,9,1,4,17,16,1
Ampara,1,2019-06-29,1,2,4,15,13,0
Ampara,1,2019-07-06,8,0,3,12,12,1
Ampara,1,2019-07-13,5,0,6,17,17,1
Ampara,1,2019-07-20,9,0,4,13,13,1
Ampara,1,2019-07-27,3,0,4,17,17,1
Ampara,1,2019-08-03,8,0,3,14,14,1
Ampara,1,2019-08-10,7,3,5,20,17,1
Ampara,1,2019-08-17,5,0,3,7,7,1
Ampara,1,2019-08-24,10,0,3,12,12,1
Ampara,1,2019-08-31,9,2,5,16,14,1
Ampara,1,2019-09-07,2,0,4,15,15,1
Ampara,1,2019-09-14,7,0,5,8,8,1
Ampara,1,2019-09-21,0,0,3,10,10,1
Ampara,1,2019-09-28,7,0,1,7,7,1
Ampara,1,2019-10-05,12,0,3,14,14,1
Ampara,1,2019-10-12,7,0,3,8,8,1
Ampara,1,2019-10-19,11,1,4,14,13,1
Ampara,1,2019-10-26,13,0,6,12,12,0
Ampara,1,2019-11-02,14,3,11,22,19,1
Ampara,1,2019-11-09,11,8,11,26,18,1
Ampara,1,2019-11-16,7,9,16,31,22,0
Ampara,1,2019-11-23,15,5,11,26,21,1
Ampara,1,2019-11-30,16,3,13,25,22,1
Ampara,1,2019-12-07,14,4,12,27,23,1
Ampara,1,2019-12-14,18,3,11,22,19,1
Ampara,1,2019-12-21,9,3,12,24,21,1
Ampara,1,2019-12-28,24,5,8,22,17,0
Ampara,1,2020-01-04,21,6,12,25,19,1
Ampara,1,2020-01-11,14,16,29,48,32,0
Ampara,1,2020-01-18,47,14,25,46,32,0
Ampara,1,2020-01-25,40,6,15,34,28,0
Ampara,1,2020-02-01,43,16,33,51,35,1
Ampara,1,2020-02-08,22,23,35,54,31,0
Ampara,1,2020-02-15,12,13,24,43,30,0
Ampara,1,2020-02-22,11,3,12,26,23,1
Ampara,1,2020-02-29,16,3,8,19,16,1
Ampara,1,2020-03-07,15,6,10,26,20,1
Ampara,1,2020-03-14,8,5,9,20,15,1
Ampara,1,2020-03-21,0,2,6,17,15,0
Ampara,1,2020-03-28,0,0,3,13,13,1
Ampara,1,2020-04-04,2,0,2,13,13,1
