district,horizon,date,actual,lower,prediction,upper,interval_width,within_interval
Ampara,1,2023-01-07,7,1,8,20,19,1
Ampara,1,2023-01-14,8,3,10,22,19,1
Ampara,1,2023-01-21,1,3,8,20,17,0
Ampara,1,2023-01-28,1,0,7,10,10,1
Ampara,1,2023-02-04,7,0,5,17,17,1
Ampara,1,2023-02-11,1,0,0,11,11,1
Ampara,1,2023-02-18,6,1,6,18,17,1
Ampara,1,2023-02-25,0,2,4,10,8,0
Ampara,1,2023-03-04,0,0,8,13,13,1
Ampara,1,2023-03-11,0,0,0,12,12,1
Ampara,1,2023-03-18,1,0,0,12,12,1
Ampara,1,2023-03-25,0,0,1,4,4,1
Ampara,1,2023-04-01,0,1,8,17,16,0
Ampara,1,2023-04-08,0,3,7,21,18,0
Ampara,1,2023-04-15,1,2,5,17,15,0
Ampara,1,2023-04-22,0,1,7,17,16,0
Ampara,1,2023-04-29,0,0,8,12,12,1
Ampara,1,2023-05-06,0,0,6,14,14,1
Ampara,1,2023-05-13,2,1,3,14,13,1
Ampara,1,2023-05-20,0,0,5,13,13,1
Ampara,1,2023-05-27,0,2,5,19,17,0
Ampara,1,2023-06-03,0,3,8,22,19,0
Ampara,1,2023-06-10,0,3,9,24,21,0
Ampara,1,2023-06-17,0,3,8,22,19,0
Ampara,1,2023-06-24,1,2,6,19,17,0
Ampara,1,2023-07-01,2,1,4,19,18,1
Ampara,1,2023-07-08,1,0,4,17,17,1
Ampara,1,2023-07-15,5,0,4,15,15,1
Ampara,1,2023-07-22,4,3,5,20,17,1
Ampara,1,2023-07-29,4,3,6,19,16,1
Ampara,1,2023-08-05,0,3,6,19,16,0
Ampara,1,2023-08-12,6,1,5,17,16,1
Ampara,1,2023-08-19,5,0,3,11,11,1
Ampara,1,2023-08-26,1,1,4,18,17,1
Ampara,1,2023-09-02,2,0,5,16,16,1
Ampara,1,2023-09-09,2,0,5,10,10,1
Ampara,1,2023-09-16,5,0,3,9,9,1
Ampara,1,2023-09-23,5,0,4,7,7,1
Ampara,1,2023-09-30,5,0,5,10,10,1
Ampara,1,2023-10-07,2,0,8,14,14,1
Ampara,1,2023-10-14,4,2,12,20,18,1
Ampara,1,2023-10-21,6,3,11,22,19,1
Ampara,1,2023-10-28,6,0,8,13,13,1
